0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
212,330,1119,790,924,599,1175,1133,701,52,1293,1303,206,563,1068,647,1295,686,1014,1282,862,236,682,987,360,337,340,657,99,908,134,35,177,731,394,973,1103,1100,789,1333,87,581,156,456,258,501,1334,730,1298,963,633,389,531,1278,522,59,56,1195,1158,1273,1060,100,905,175,1155,831,552,605,1170,1423,640,277,316,263,639,28,466,559,1208,290,958,736,20,1363,45,1200,1383,972,636,663,314,1018,106,860,505,1162,549,720,438,1222
1354,937,477,476,1407,223,1091,1024,1025,1314,1054,678,528,635,414,1331,427,1056,217,117,485,178,189,407,791,319,1126,239,931,315,754,930,248,1373,207,231,1010,1169,540,828,702,912,867,898,1148,1142,700,1263,1173,1272,569,537,803,933,811,1243,1286,1132,1194,1406,1101,392,906,171,658,426,995,271,785,815,371,1283,1398,1073,1334,600,1146,283,1414,1400,1002,132,1296,627,913,1181,270,331,479,768,254,789,172,398,424,680,637,1257,706,253
212,330,1119,790,924,1175,599,701,1133,52,1303,206,1293,563,1068,647,1295,686,1282,1014,862,337,360,987,682,340,236,657,99,908,134,35,177,731,394,1103,1100,973,1333,156,1298,963,258,87,522,389,501,1195,1158,1273,730,905,633,1278,1060,531,1155,59,552,56,605,640,789,100,175,1170,831,316,581,639,456,559,1208,958,277,1334,290,263,28,1363,466,1200,736,20,45,636,972,106,1018,505,1383,1423,720,438,1222,0,388,664,541,208
212,330,1119,790,924,599,1175,1133,701,52,1303,206,1293,563,1068,647,1295,686,1014,1282,862,337,682,360,987,236,340,657,99,908,134,35,177,731,394,973,1103,1100,1333,156,87,789,258,501,963,1298,581,456,730,522,389,633,1334,531,1278,1158,1195,1273,59,56,1060,905,1155,100,175,831,552,605,640,1170,316,277,639,559,1423,263,28,1208,466,958,290,1363,736,20,1200,45,972,636,1383,106,1018,505,663,720,438,314,1222,0,388,860
212,1119,330,599,790,1293,563,924,1068,647,1175,1133,52,1295,701,789,206,1303,581,456,1334,1014,236,686,1282,862,682,87,987,340,99,657,908,1423,35,134,177,501,360,731,394,973,730,531,633,1278,59,258,56,337,1100,100,175,1103,1333,831,663,389,314,1060,860,156,803,277,1162,549,263,963,1298,28,466,1383,1170,1195,1158,1273,828,592,1155,867,1024,217,183,905,550,20,736,316,45,242,972,560,636,684,632,522,1406,1054,1402,640
283,913,132,331,270,1181,768,172,129,932,617,1289,1180,254,33,637,54,680,489,1022,1257,1183,971,695,136,265,915,1338,1322,1270,1248,1321,1141,571,1113,1306,1358,1185,1259,1091,420,1414,992,604,202,1251,1240,1253,937,1061,883,257,424,215,267,165,252,253,483,110,1342,1347,856,455,386,261,1314,996,268,358,836,414,1354,528,635,1331,318,1046,750,427,60,380,806,1153,986,569,477,1272,392,906,476,875,264,1407,223,1002,130,1271,1243,1305
212,330,1119,790,924,599,1175,701,1133,52,1303,1293,206,563,1068,647,1295,789,337,686,581,1334,1014,456,1282,360,862,236,987,682,340,657,99,908,134,35,177,1103,731,394,1100,522,973,1333,1423,156,87,963,1298,501,258,730,1024,559,633,531,389,1278,803,958,1273,1195,1158,59,1363,552,56,605,905,1354,217,828,640,1060,100,1155,175,867,831,1054,477,314,663,860,1407,1170,639,1162,476,223,316,549,277,1200,1208,290,263,28,466,106
212,330,1119,790,599,924,1293,1175,563,1133,52,701,1068,206,1303,647,1295,1014,686,1282,236,862,682,987,360,340,657,99,908,337,134,35,177,731,394,973,789,87,1100,1103,581,456,1333,1334,501,258,730,156,633,531,1278,59,389,56,963,1298,100,1060,175,1158,1195,1273,831,522,905,1155,1423,1170,277,316,263,552,640,605,28,466,639,736,20,1208,1383,290,45,972,636,663,559,958,1200,314,860,1363,1162,549,1018,592,106,1222,0,803
212,330,1119,790,924,599,1175,1133,701,52,1303,206,1293,563,1068,647,1295,686,1014,1282,862,337,682,360,987,236,340,657,99,908,134,35,177,731,394,973,1103,1100,1333,156,87,789,258,501,581,1298,963,456,730,522,389,633,1334,531,1278,1195,1273,1158,59,56,1060,905,1155,100,175,831,552,605,640,1170,316,277,639,1423,559,263,28,1208,466,958,290,1363,736,20,1200,45,972,636,1383,106,1018,663,505,720,438,314,1222,860,0,388
212,789,581,1334,456,1119,330,599,1068,1423,1293,563,803,647,790,314,236,860,663,828,1162,1295,549,867,1024,87,217,924,1014,592,183,1406,1054,501,730,560,242,550,684,531,632,1402,633,811,1408,1330,426,855,953,56,59,1278,826,271,371,815,995,69,178,175,1073,100,1175,407,189,509,1133,94,206,52,452,831,791,827,1126,457,1282,95,469,690,123,182,149,432,319,384,315,383,1354,239,686,931,1383,479,159,701,258,248,1303,754
283,913,132,331,270,1181,768,172,129,932,617,1289,1180,254,637,33,54,680,489,1022,1257,971,695,136,1183,265,915,1338,1322,1270,1248,1321,1141,571,1113,1306,1358,1185,1259,420,1414,992,604,202,1251,1240,1253,1061,883,257,424,1091,267,252,253,483,110,215,165,1347,1342,386,455,856,996,358,261,268,836,318,806,986,750,1046,380,60,1153,875,1314,264,937,906,392,1002,414,569,1271,1331,130,1305,635,528,1272,427,1030,1168,746,1164,286,361
212,330,1119,790,599,924,1175,1293,1133,52,701,563,206,1303,1068,647,1295,1014,686,1282,236,862,682,987,360,340,337,657,99,908,134,35,177,731,394,973,789,1100,1103,87,581,456,1333,1334,501,156,258,730,633,531,1278,389,59,963,1298,56,1060,100,522,1195,1158,1273,175,831,905,1155,1423,1170,277,552,605,640,316,263,28,466,639,1208,736,20,290,559,1383,45,972,636,958,663,1200,1363,314,860,1162,1018,549,106,505,592,1222,0
212,330,1119,790,924,599,1175,701,1133,52,1303,206,1293,563,1068,647,1295,686,1014,1282,862,337,360,682,987,236,340,657,99,908,134,35,177,731,394,1103,973,1100,1333,156,87,258,963,1298,501,522,789,389,730,633,531,1273,1195,1158,1278,581,456,59,1060,905,56,1334,1155,100,175,552,605,640,831,1170,316,639,277,559,1208,263,958,28,290,466,1423,1363,1200,736,20,45,636,972,1383,106,1018,505,720,438,663,1222,0,388,314,664
212,330,1119,790,924,599,1175,701,1133,52,1303,1293,206,563,1068,647,1295,686,1014,1282,862,337,360,236,682,987,340,657,99,908,134,35,177,731,394,1103,973,1100,789,1333,581,456,87,156,1334,258,501,522,963,1298,730,633,389,531,1278,59,1273,1158,1195,56,1060,905,100,1155,175,552,605,831,1423,640,1170,559,316,277,958,639,263,1363,28,1208,466,290,1200,736,20,45,1383,972,636,663,106,314,1018,505,860,1162,720,549,803,438
1354,477,1024,1407,476,223,789,217,937,1334,1054,581,456,828,867,803,178,678,189,407,791,1126,1056,117,319,315,1025,239,212,931,754,248,930,1423,1373,207,231,1119,1091,811,330,1010,1406,599,1169,426,485,271,995,1068,815,314,860,371,1293,563,1162,1073,549,790,663,1194,1132,1314,924,479,1402,1408,1101,528,1330,635,398,1286,159,912,414,647,1331,397,183,427,1148,1142,283,560,826,855,953,702,540,898,684,242,658,913,1295,632,132,69
1091,937,1354,1314,283,132,913,414,331,1181,528,270,635,477,1331,768,476,427,1407,172,223,254,637,680,129,617,932,1257,1180,1289,33,54,1414,569,1272,1022,489,695,971,424,136,265,1025,267,253,915,392,1338,252,906,1322,483,1270,1248,1321,1141,1243,1113,1185,571,1306,1358,1183,1259,386,992,604,202,485,110,1002,1024,171,1271,678,540,420,358,1251,1253,1240,702,898,883,1061,700,1263,1173,912,1054,257,1056,117,1148,1142,474,933,1347,537,455
212,1119,330,789,599,1334,581,790,456,924,1293,563,1068,1354,1175,1024,1133,701,52,1303,206,647,477,217,1423,1295,1407,476,803,223,1054,828,867,1014,236,686,1282,178,862,337,682,189,407,987,360,791,1126,87,340,319,678,314,315,657,937,99,860,908,1056,239,1406,117,931,811,134,35,663,177,1162,754,248,549,731,930,394,231,207,1373,973,501,730,1103,1100,1025,426,531,633,1278,271,1010,1333,59,258,56,995,815,371,522,156,183
283,913,132,331,270,1181,768,129,932,172,617,1289,1180,33,54,254,637,489,680,1022,1183,971,695,136,265,1257,915,1338,1322,1270,1248,1321,1141,571,1113,1306,1358,1185,1259,420,992,604,202,1414,1251,1240,1253,1061,257,883,215,165,1342,424,856,1347,261,268,455,996,267,252,110,483,253,836,1046,386,318,750,1091,358,60,1153,380,806,986,264,875,130,1164,1168,286,1030,361,187,1092,1409,65,906,1002,392,1305,1314,746,937,1271,41,199,569
283,913,132,331,270,1181,768,172,129,932,617,1289,1180,254,33,54,637,680,489,1022,1257,971,1183,695,136,265,915,1338,1322,1270,1248,1321,1141,571,1113,1306,1358,1185,1259,420,992,1414,604,202,1251,1240,1253,1061,883,257,424,215,165,267,252,1347,1342,253,483,856,110,455,996,1091,261,268,386,358,836,318,1046,750,380,806,60,986,1153,875,264,130,906,392,1002,1314,1030,1305,1168,1271,1164,937,286,361,569,746,187,414,1092,1272,1331,635
1354,477,1407,476,223,937,1024,1025,1054,1091,678,217,1056,117,178,189,407,791,1126,319,239,315,931,754,248,930,485,1373,207,828,231,867,1010,1169,1314,528,635,1331,414,803,427,912,540,702,898,1148,1142,811,700,1263,1173,537,1406,1286,1194,1132,1101,933,426,1334,995,271,815,1272,658,371,789,569,1073,581,456,1146,479,1283,1398,398,1243,159,600,397,1400,785,561,1296,1423,1415,610,627,171,1408,834,1330,1402,1320,429,392,383,860,906,920
212,1119,330,599,1293,1068,563,789,790,581,456,1334,647,924,1295,236,1014,1423,1175,87,1133,52,206,701,1303,501,1282,730,686,531,633,862,682,1278,59,56,340,663,99,908,657,314,987,35,860,177,175,134,100,1162,973,258,549,731,803,831,394,592,277,183,360,550,828,1383,867,242,560,263,684,28,1060,466,632,217,389,1024,1100,1402,1406,855,953,1408,1330,1333,826,20,736,1170,69,972,45,1103,636,426,1054,811,509,452,94,271
212,1119,330,599,790,924,1293,563,789,1068,1175,1133,701,1334,52,581,456,1303,206,647,1295,1014,236,686,1423,1024,1282,862,337,682,987,1354,360,803,340,217,657,99,908,87,828,134,35,177,867,477,731,1054,394,1407,973,476,1103,223,501,1100,730,314,531,633,1333,860,663,258,1278,156,1162,59,522,56,178,549,1406,189,407,100,175,791,963,1298,1126,811,389,319,315,831,239,678,1056,931,117,1060,1158,1273,1195,754,248,592,930,426
789,1024,1334,1354,581,456,217,477,1407,1054,476,223,828,803,867,1423,178,189,407,791,1126,319,678,315,239,1056,117,931,811,754,248,1406,930,231,212,207,1373,1025,426,1010,314,860,1119,937,271,1162,549,995,815,371,330,663,1073,1169,599,1402,1408,1330,479,183,1194,1068,1132,398,159,560,855,953,826,684,242,397,1293,632,592,69,563,1101,509,383,94,95,485,827,457,690,550,182,123,469,384,149,432,452,1286,658,1146,834,561,1415
212,1119,330,599,1293,1068,563,790,647,924,789,1295,236,581,456,1014,1334,87,1175,1133,52,206,501,730,701,1282,1303,1423,531,633,686,1278,59,56,862,682,340,99,908,657,35,175,100,177,987,134,258,973,831,731,394,663,277,314,860,1383,263,1162,28,466,549,1060,360,592,389,550,1100,183,20,736,1333,972,1170,45,242,560,636,803,684,632,1103,855,953,1402,826,1408,156,1330,1155,490,316,1108,69,828,1195,1158,1273,623,867,963
212,789,1119,330,1334,581,456,1354,1024,599,477,1293,790,1068,217,1407,563,476,223,803,1423,924,1054,828,867,647,1175,1133,52,701,178,1295,206,1303,189,407,791,1126,678,319,236,315,1056,239,117,1014,931,1406,811,937,314,754,248,860,930,231,207,1373,1162,663,549,1025,87,686,426,1282,1010,271,862,995,815,371,682,1073,987,340,183,501,99,657,908,1402,730,1408,592,1330,35,360,560,134,177,531,242,337,684,1169,633,731,632,855
283,913,132,331,270,1181,768,172,129,254,617,932,637,1180,680,1289,33,54,1257,1091,489,1022,695,971,136,265,1414,915,1338,1322,1270,1248,1321,1183,1141,1113,571,1185,1306,1358,1259,992,424,604,202,937,267,420,253,252,483,1251,1240,1253,1314,386,110,1061,883,257,414,1331,635,528,358,427,1347,569,455,392,906,1272,1342,856,1002,215,165,996,806,1271,836,986,261,268,1243,1305,875,318,380,750,1354,1046,264,60,171,1153,474,746,477,476
212,330,1119,790,599,924,1175,1293,1133,701,52,563,1303,206,1068,647,1295,1014,686,1282,236,862,682,987,360,337,340,657,99,908,134,35,789,177,731,394,581,973,456,1103,1100,1334,87,1333,156,501,258,730,633,531,1278,1298,963,389,59,522,56,1158,1195,1273,1060,100,1423,175,905,831,1155,552,605,1170,640,277,316,263,28,466,639,559,1208,958,290,736,20,663,1383,1363,45,972,636,1200,314,860,1162,549,803,106,1018,592,505,720
212,330,1119,790,599,924,1175,1293,1133,563,701,52,1068,206,1303,647,1295,1014,686,1282,236,862,682,987,360,337,340,657,99,908,789,134,35,177,731,394,581,456,973,1334,1100,87,1103,1333,501,156,258,730,633,531,1278,59,389,963,1298,56,522,1423,100,1060,175,1273,1195,1158,831,905,1155,1170,277,552,605,640,316,263,28,466,639,559,1208,663,736,20,290,1383,958,45,972,314,636,860,1363,1200,1162,549,803,592,1018,106,505,550
1354,477,1407,476,223,1024,937,1054,217,678,1025,178,828,189,1056,407,867,117,1091,791,1126,319,239,315,931,803,754,248,930,1373,207,231,1334,789,1010,581,456,485,811,1169,1406,1314,528,635,1423,414,1331,426,427,912,271,995,815,1194,1132,1142,1148,371,540,702,898,1286,1073,700,1101,1263,1173,479,537,658,398,860,314,159,397,1162,549,1146,1408,1402,1330,933,1272,663,561,569,383,1398,826,855,953,1415,1283,183,509,69,95,457,827,384
212,330,1119,790,924,599,1175,1133,701,52,1293,563,206,1303,1068,647,1295,1014,686,1282,862,236,682,987,360,340,337,657,99,908,134,35,177,731,394,973,1100,1103,87,1333,789,156,258,501,581,456,730,1334,633,531,389,963,1298,1278,59,56,522,1195,1158,1273,1060,100,175,905,1155,831,1170,552,605,640,277,316,1423,263,28,466,639,1208,290,559,736,20,958,45,972,636,1383,1200,1363,663,1018,106,314,505,860,1222,0,1162,388,438
212,330,1119,790,924,599,1175,1133,701,52,1293,1303,206,563,1068,647,1295,686,1014,1282,862,236,337,682,360,987,340,657,99,908,134,35,177,731,394,973,1103,789,1100,1333,581,87,456,156,1334,258,501,730,963,1298,522,633,389,531,1278,59,56,1273,1195,1158,1060,905,100,175,1155,831,552,1423,605,640,1170,316,277,559,639,263,958,28,466,1208,290,1363,736,20,1200,45,1383,972,636,663,314,106,1018,860,505,1162,549,720,803,438
789,581,1334,456,212,1119,330,1423,599,1068,1293,563,803,314,860,663,828,1162,867,549,1024,217,647,236,87,790,1295,1406,592,1054,183,1014,560,242,684,550,811,632,1402,924,1408,1330,426,855,953,730,501,826,531,271,371,815,995,178,69,633,1073,56,407,189,59,1278,509,94,791,452,1126,827,457,95,469,690,123,182,319,149,432,315,384,383,175,239,100,1354,931,479,159,248,231,754,831,398,930,207,397,1056,477,1373,117,1407
789,1024,1334,1354,581,456,217,477,1407,1054,476,803,828,223,867,1423,178,189,407,791,1126,319,678,315,239,1056,117,931,811,754,1406,248,930,212,231,207,1373,314,860,426,1025,1119,1010,1162,271,549,937,995,815,371,330,663,1073,1169,599,1402,1408,1330,183,479,1068,1194,1132,398,159,560,855,953,826,684,242,397,1293,632,592,563,69,1101,509,383,94,95,827,457,690,550,485,182,123,469,384,149,432,452,1286,658,1146,834,561,1415
212,330,1119,790,924,599,1175,1133,701,52,1293,563,1303,206,1068,647,1295,1014,686,1282,862,236,682,987,360,337,340,657,99,908,134,35,177,731,394,973,789,1100,1103,87,581,1333,456,1334,156,501,258,730,633,531,963,1298,389,1278,59,522,56,1158,1195,1273,1060,100,175,905,1155,831,1423,552,605,1170,640,277,316,263,28,639,466,559,1208,290,958,736,20,1383,1363,45,972,636,1200,663,314,860,1018,106,1162,505,549,803,592,1222
1354,283,913,132,331,270,477,1181,937,1407,768,476,223,129,932,1289,617,172,1024,1180,33,54,489,254,637,1091,1183,680,212,1022,971,136,265,695,915,1338,1322,1270,330,1119,789,1248,1321,1141,1257,1054,217,1334,571,1113,581,1306,1358,456,1185,1259,420,790,828,924,599,867,701,678,1025,803,1175,178,1133,52,189,1303,407,1056,791,117,1126,319,206,1293,239,315,992,931,563,604,1068,202,754,248,930,1251,1414,1240,1253,337,1373,207,1423,231
283,913,132,331,270,1181,768,172,129,932,617,1289,1180,254,637,33,54,680,489,1022,1257,971,695,136,1183,265,915,1338,1322,1270,1248,1321,1141,571,1113,1306,1358,1185,1259,1414,420,992,604,202,1251,1240,1253,1061,883,257,424,1091,267,252,253,483,110,215,165,1347,386,1342,455,856,996,358,261,268,836,806,318,986,750,1046,380,60,1153,875,937,1314,264,906,392,1002,414,569,1271,1331,635,528,1305,130,1272,427,1030,1168,746,1164,286,361
789,1334,1354,1024,581,456,477,1407,217,476,223,1054,212,803,828,867,1423,1119,330,178,189,407,791,1126,678,319,315,1056,239,117,599,931,754,248,811,1406,930,231,937,207,1373,1068,1293,1025,314,860,563,1010,426,1162,549,271,663,995,815,371,790,1073,1169,647,1402,1408,1330,924,183,479,560,1194,242,684,236,1132,592,855,953,826,1295,398,159,632,397,69,485,550,509,87,1101,1014,383,94,95,827,457,690,469,123,182,384,149,452
212,1119,330,789,581,1334,456,599,1068,1293,563,1423,790,647,924,1295,236,803,1014,87,1024,828,314,663,860,217,867,1175,1162,549,1133,52,206,501,701,730,1054,1303,531,633,1282,1406,592,183,686,1278,56,59,560,242,811,550,862,682,684,340,175,632,99,908,100,1402,426,657,1408,1330,178,1354,35,987,855,953,831,177,826,134,271,258,407,189,371,815,973,995,791,1126,477,731,1073,394,69,319,1407,315,239,509,931,476,94,223
212,330,1119,790,924,599,1175,1293,1133,52,701,563,206,1303,1068,647,1295,1014,686,1282,236,862,682,987,360,340,337,657,99,908,134,35,177,731,394,973,789,1100,1103,87,1333,581,456,501,156,1334,258,730,633,531,1278,389,963,1298,59,56,1060,522,1158,1273,1195,100,175,831,905,1155,1423,1170,277,552,605,640,316,263,28,466,639,1208,290,736,20,559,1383,45,972,636,958,1200,663,1363,314,860,1018,1162,106,549,505,1222,592,0
789,1334,581,456,212,1423,1119,803,330,1024,828,217,867,599,314,860,1068,1162,663,1054,549,1293,563,1406,811,183,426,178,592,560,1402,242,684,407,1408,189,271,1330,371,815,1354,632,995,791,1126,550,855,953,1073,826,319,315,236,647,87,239,477,931,69,1407,248,754,231,930,1056,509,117,207,476,223,1373,94,827,95,457,452,469,690,678,123,182,479,383,149,432,384,159,1295,398,790,397,1014,1010,730,501,531,633,56,924,59
1354,937,477,1407,476,223,1091,1024,1025,1054,678,217,1314,528,635,1056,414,117,1331,178,189,427,407,791,1126,319,239,315,485,931,754,248,930,1373,207,828,231,867,1010,1169,803,283,540,912,913,132,702,898,331,1272,270,1181,1148,1142,700,569,768,1263,811,1173,172,254,637,129,680,617,932,537,1180,1257,1289,1406,1334,33,54,1243,1286,1414,933,789,1194,1132,1022,489,581,392,1101,456,906,426,695,971,995,271,136,424,265,815,371,915
212,330,1119,790,924,599,1175,1133,701,52,1293,1303,206,563,1068,647,1295,686,1014,1282,862,236,682,987,360,337,340,657,99,908,134,35,177,731,394,973,1103,1100,789,1333,87,581,156,456,258,1334,501,730,1298,963,633,389,531,1278,522,59,56,1195,1158,1273,1060,100,905,175,1155,831,552,605,640,1423,1170,277,316,263,639,28,466,559,1208,958,290,736,20,1363,1200,45,1383,972,636,663,106,1018,314,860,505,1162,549,720,438,1222
1091,283,132,913,331,1181,270,768,937,172,254,637,680,129,617,932,1257,1180,1289,33,54,1314,1414,1022,489,414,695,971,635,528,1331,136,265,424,427,915,1338,1322,1270,1248,1321,1141,267,1113,1185,253,571,1306,1183,1358,252,1259,483,569,1272,992,604,386,202,392,906,110,1354,1002,420,1243,1251,1253,1240,358,883,1061,477,1271,476,223,257,1407,1347,455,171,806,1305,1342,856,474,996,986,1025,165,215,836,875,706,261,268,485,318,540,380
1354,937,477,1091,476,1407,223,1024,1025,1314,1054,528,635,414,1331,678,427,217,1056,117,178,283,189,485,407,913,791,132,1126,319,239,331,315,931,270,1181,754,768,248,930,1373,207,172,231,828,254,867,129,1010,637,617,932,680,1272,1180,569,1289,1169,1257,540,33,54,702,912,898,803,1142,1148,700,1022,489,1414,1263,1173,695,971,1243,136,811,265,537,915,1338,1322,1270,1248,392,424,1321,1141,1183,906,1113,571,1185,1306,933,1358,1259,267
212,1119,330,599,1293,1068,563,790,647,924,1295,789,236,581,456,1014,1334,87,1175,1133,52,206,501,701,730,1282,1303,1423,531,686,633,1278,59,56,862,682,340,99,908,657,35,175,100,177,987,134,258,973,831,731,394,663,277,314,860,1383,263,1162,28,466,1060,360,549,592,389,550,1100,183,20,736,1333,1170,972,45,242,636,560,803,684,632,1103,855,953,1402,826,156,1155,1408,1330,490,316,1108,1195,1158,1273,69,828,623,963,1298
212,330,1119,790,599,924,1175,1293,701,1133,52,563,1068,1303,206,789,647,581,1334,456,1295,1014,686,337,236,1282,862,360,682,987,340,1423,657,99,908,134,35,1024,177,731,394,1103,87,1354,973,1100,803,522,217,1333,828,156,501,867,477,730,1054,1407,258,633,531,476,963,1298,1278,223,59,56,314,389,860,559,663,100,1195,1158,1273,175,1162,549,905,958,1060,552,605,831,178,1363,1155,1406,189,640,407,791,1126,811,319,315,277,239
283,913,132,331,270,1181,768,129,932,617,172,1289,1180,33,54,254,637,489,680,1022,1183,971,695,136,265,915,1257,1338,1322,1270,1248,1321,1141,571,1113,1306,1358,1185,1259,420,992,604,202,1251,1240,1253,1414,1061,257,883,215,165,1342,856,1347,424,261,268,455,996,267,252,110,483,253,836,1046,318,750,386,358,60,380,1153,806,986,264,875,1091,130,1164,1168,1030,286,361,187,1092,1409,65,1305,746,41,1002,906,199,1271,392,230,968,502
212,701,330,924,790,1175,1119,1133,52,1303,206,599,337,1293,563,1068,647,360,522,1295,686,862,1282,987,1103,682,1014,559,340,1100,657,156,958,134,1363,99,908,35,731,177,1333,236,394,963,1298,973,605,552,789,640,905,1195,1273,1158,581,456,1334,389,258,1155,541,87,1200,106,639,505,501,1060,730,1208,720,290,633,531,1278,316,59,56,1018,1170,1423,100,438,175,831,1429,277,263,28,466,874,1024,736,20,803,45,636,972,1354,217
337,522,559,1363,958,701,1303,1175,1133,52,206,541,924,605,552,360,1103,106,790,505,156,640,720,1429,1200,1298,963,1100,874,1333,686,905,786,987,758,862,438,1273,1158,1195,1018,639,682,1282,435,330,290,1208,192,731,134,340,510,657,1150,1000,394,772,1032,496,1260,29,35,1155,512,99,908,177,284,1118,1119,320,709,506,212,440,599,1295,973,647,1386,1301,1105,737,86,351,1293,389,563,500,316,1064,1384,482,310,1014,1353,491,204,195
